id,asins,brand,categories,colors,count,dateAdded,dateUpdated,descriptions,dimension,ean,features,flavors,imageURLs,isbn,keys,manufacturer,manufacturerNumber,merchants,name,prices.amountMin,prices.amountMax,prices.availability,prices.color,prices.condition,prices.count,prices.currency,prices.dateAdded,prices.dateSeen,prices.flavor,prices.isSale,prices.merchant,prices.offer,prices.returnPolicy,prices.shipping,prices.size,prices.source,prices.sourceURLs,prices.warranty,quantities,reviews,sizes,skus,sourceURLs,upc,vin,websiteIDs,weight
"AVpfHrJ6ilAPnD_xVXOI",,"Josmo","Clothing,Shoes,Men's Shoes,All Men's Shoes",,,"2016-11-07T00:45:12Z","2016-11-07T00:45:12Z","[{""dateSeen"":[""2016-11-07T00:45:12Z""],""sourceURLs"":[""https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Specifications- Color Navy- Size Wide- Size 75- Dimensions 3'' H x 275'' W x 575'' L- Weight 05 lbs SKU: JSMS082""}]",,"0699302044036","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Shoe Size"",""value"":[""M""]},{""key"":""Shoe Category"",""value"":[""Men's Shoes""]},{""key"":""Color"",""value"":[""Multicolor""]},{""key"":""Manufacturer Part Number"",""value"":[""8190-W-NAVY-7.5""]},{""key"":""Brand"",""value"":[""Josmo""]}]",,"https://i5.walmartimages.com/asr/13ac3d61-003c-4a30-94db-7d4e7e94fd3b_1.157f2cdc2551cda33f1191df19dd94ff.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"josmo/8190wnavy75,699302044036,0699302044036",,"8190-W-NAVY-7.5","[{""dateSeen"":[""2016-11-07T00:45:12Z""],""name"":""Unbeatablesale""}]","Josmo 8190 Plain Infant Walking Shoes, Navy - Wide - Size 7. 5",39.89,39.89,,,,,"USD","2016-11-07T00:45:12Z","2016-11-05T00:00:00Z",,"true",,"REDUCED USD 12.10",,,,,"https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984",,,,,,"https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984","699302044036",,,
"AVpfHrJ6ilAPnD_xVXOI",,"Josmo","Clothing,Shoes,Men's Shoes,All Men's Shoes",,,"2016-11-07T00:45:12Z","2016-11-07T00:45:12Z","[{""dateSeen"":[""2016-11-07T00:45:12Z""],""sourceURLs"":[""https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Specifications- Color Navy- Size Wide- Size 75- Dimensions 3'' H x 275'' W x 575'' L- Weight 05 lbs SKU: JSMS082""}]",,"0699302044036","[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Shoe Size"",""value"":[""M""]},{""key"":""Shoe Category"",""value"":[""Men's Shoes""]},{""key"":""Color"",""value"":[""Multicolor""]},{""key"":""Manufacturer Part Number"",""value"":[""8190-W-NAVY-7.5""]},{""key"":""Brand"",""value"":[""Josmo""]}]",,"https://i5.walmartimages.com/asr/13ac3d61-003c-4a30-94db-7d4e7e94fd3b_1.157f2cdc2551cda33f1191df19dd94ff.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"josmo/8190wnavy75,699302044036,0699302044036",,"8190-W-NAVY-7.5","[{""dateSeen"":[""2016-11-07T00:45:12Z""],""name"":""Unbeatablesale""}]","Josmo 8190 Plain Infant Walking Shoes, Navy - Wide - Size 7. 5",51.99,51.99,,,"new",,"USD","2016-11-07T00:45:12Z","2016-11-05T00:00:00Z",,"false","UnbeatableSale - Walmart.com","REDUCED USD 12.10",,,,,"https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984",,,,,,"https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984","699302044036",,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",40.02,40.02,,,"new",,"USD","2016-06-14T04:29:57Z","2016-03-08T00:00:00Z",,"false","SIM Supply Inc - Walmart.com",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",50.31,50.31,,,"new",,"USD","2016-06-14T04:29:57Z","2015-11-30T00:00:00Z",,"false","SIM Supply Inc - Walmart.com",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",46.26,46.26,,,"new",,"USD","2016-06-14T04:29:57Z","2016-04-29T00:00:00Z",,"false","SIM Supply Inc - Walmart.com",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",55.99,55.99,,,"new",,"USD","2016-06-14T04:29:57Z","2016-07-09T00:00:00Z",,"false","SIM Supply Inc - Walmart.com",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",41.12,41.12,,,"new",,"USD","2016-06-14T04:29:57Z","2016-03-10T00:00:00Z",,"false","SIM Supply Inc - Walmart.com",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",46.19,46.19,,,"new",,"USD","2016-06-14T04:29:57Z","2016-06-13T00:00:00Z",,"true","SIM Supply Inc - Walmart.com","SAVINGS_AMT USD 9.80",,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",21.40,21.40,,,"new",,"USD","2016-06-14T04:29:57Z","2016-07-09T00:00:00Z",,"true","SIM Supply Inc - Walmart.com","SAVINGS_AMT USD 34.59",,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
"AVpfHsWP1cnluZ0-eVZ7",,"SERVUS BY HONEYWELL","All Men's Shoes,Shoes,Men's Shoes,Clothing",,,"2016-06-14T04:29:57Z","2016-07-09T20:26:48Z","[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",,"http://i5.walmartimages.com/dfw/dce07b8c-5844/k2-_f1fa95b3-aca8-494e-a285-cefb71b173f4.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/asr/22cf3f4b-d28b-4a72-a2bb-15120e0259d5_1.e496dff47c69e9e7530f24e9a7e609d6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",,"servusbyhoneywell/zsr101blmlg",,"ZSR101BLMLG","[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]","Servus By Honeywell Shoe Studs Zsr101blmlg",45.23,45.23,,,"new",,"USD","2016-06-14T04:29:57Z","2016-04-18T00:00:00Z",,"false","SIM Supply Inc - Walmart.com","SAVINGS_AMT USD 34.59",,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,,,"http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470",,,,
